
重庆,#genre#
爱看导视,https://chtsoft.top/重庆有线.php?id=aikanHD
重广融媒,https://chtsoft.top/重庆有线.php?id=cqrongmei
﻿重庆卫视,https://chtsoft.top/重庆有线.php?id=chongqingHD
重庆新闻,https://chtsoft.top/重庆有线.php?id=CQTVNewsHD
重庆影视,https://chtsoft.top/重庆有线.php?id=cqyingshiHD
重庆社会与法,https://chtsoft.top/重庆有线.php?id=CQTVTrendyHD
重庆时尚生活,https://chtsoft.top/重庆有线.php?id=cqssgwHD
重庆文体娱乐,https://chtsoft.top/重庆有线.php?id=cqwtylHD
重庆新农村,https://chtsoft.top/重庆有线.php?id=cqggncHD
重庆少儿,https://chtsoft.top/重庆有线.php?id=cqseHD
重庆科教,https://chtsoft.top/重庆有线.php?id=CQTVkejiaoHD
重庆汽摩,https://chtsoft.top/重庆有线.php?id=cqcarSD
重庆移动,https://chtsoft.top/重庆有线.php?id=mryyHD

央视,#genre#
CCTV4K超高清,https://chtsoft.top/重庆有线.php?id=CCTV4K
CCTV1综合,https://chtsoft.top/重庆有线.php?id=cctv1HD
CCTV2财经,https://chtsoft.top/重庆有线.php?id=cctv2HD
CCTV3综艺,https://chtsoft.top/重庆有线.php?id=cctv3HD
CCTV4中文国,https://chtsoft.top/重庆有线.php?id=cctv4HD
CCTV5体育,https://chtsoft.top/重庆有线.php?id=cctv5HD
CCTV6电影,https://chtsoft.top/重庆有线.php?id=cctv6HD
CCTV7国防军事,https://chtsoft.top/重庆有线.php?id=cctv7HD
CCTV8电视剧,https://chtsoft.top/重庆有线.php?id=cctv8HD
CCTV9纪录,https://chtsoft.top/重庆有线.php?id=cctv9HD
CCTV10科教,https://chtsoft.top/重庆有线.php?id=cctv10HD
CCTV11戏曲,https://chtsoft.top/重庆有线.php?id=cctv11HD
CCTV12社会与法,https://chtsoft.top/重庆有线.php?id=cctv12HD
CCTV13新闻,https://chtsoft.top/重庆有线.php?id=CCTVNewsHD
CCTV14少儿,https://chtsoft.top/重庆有线.php?id=cctvseHD
CCTV15音乐,https://chtsoft.top/重庆有线.php?id=cctv15HD
CCTV16奥林匹克,https://chtsoft.top/重庆有线.php?id=cctv16HD
CCTV16奥林匹克4K,https://chtsoft.top/重庆有线.php?id=CCTV16_4K
CCTV17农业农村,https://chtsoft.top/重庆有线.php?id=cctv17HD
CGTN,https://chtsoft.top/重庆有线.php?id=cgtnSD
CETV1,https://chtsoft.top/重庆有线.php?id=cetv-1SD
CETV4,https://chtsoft.top/重庆有线.php?id=cetv-4SD

卫视,#genre#
江苏卫视,https://chtsoft.top/重庆有线.php?id=jiangsuHD
北京卫视,https://chtsoft.top/重庆有线.php?id=beijingHD
卡酷少儿,https://chtsoft.top/重庆有线.php?id=bjkakuSD
纪实科教,https://chtsoft.top/重庆有线.php?id=bjayjsSD
浙江卫视,https://chtsoft.top/重庆有线.php?id=zhejiangHD
东方卫视,https://chtsoft.top/重庆有线.php?id=shanghaiHD
深圳卫视,https://chtsoft.top/重庆有线.php?id=shenzhenHD
辽宁卫视,https://chtsoft.top/重庆有线.php?id=liaoningHD
天津卫视,https://chtsoft.top/重庆有线.php?id=tianjinHD
贵州卫视,https://chtsoft.top/重庆有线.php?id=guizhouHD
四川卫视,https://chtsoft.top/重庆有线.php?id=sichuanHD
云南卫视,https://chtsoft.top/重庆有线.php?id=yunnanSD
东南卫视,https://chtsoft.top/重庆有线.php?id=dongnanHD
黑龙江卫视,https://chtsoft.top/重庆有线.php?id=heilongjiangHD
安徽卫视,https://chtsoft.top/重庆有线.php?id=anhuiSD
河北卫视,https://chtsoft.top/重庆有线.php?id=hebeiSD
江西卫视,https://chtsoft.top/重庆有线.php?id=jiangxiHD
湖北卫视,https://chtsoft.top/重庆有线.php?id=hubeiSD
海南卫视,https://chtsoft.top/重庆有线.php?id=hainanSD
吉林卫视,https://chtsoft.top/重庆有线.php?id=jilinHD
广西卫视,https://chtsoft.top/重庆有线.php?id=guangxiHD
内蒙古卫视,https://chtsoft.top/重庆有线.php?id=neimengkuSD
湖南卫视,https://chtsoft.top/重庆有线.php?id=hunanHD
金鹰卡通,https://chtsoft.top/重庆有线.php?id=jinyingSD
广东卫视,https://chtsoft.top/重庆有线.php?id=guangdongHD
河南卫视,https://chtsoft.top/重庆有线.php?id=henanHD
山西卫视,https://chtsoft.top/重庆有线.php?id=shanxiSD
兵团卫视,https://chtsoft.top/重庆有线.php?id=bingtuanSD
宁夏卫视,https://chtsoft.top/重庆有线.php?id=ningxia
三沙卫视,https://chtsoft.top/重庆有线.php?id=sanshaSD
青海卫视,https://chtsoft.top/重庆有线.php?id=qinghaiSD
山东教育,https://chtsoft.top/重庆有线.php?id=sdjiaoyuSD
新疆卫视,https://chtsoft.top/重庆有线.php?id=xinjiangSD
西藏卫视,https://chtsoft.top/重庆有线.php?id=xizangSD
中国天气,https://chtsoft.top/重庆有线.php?id=tianqiSD

CHC,#genre#
CHC动作电影,https://chtsoft.top/重庆有线.php?id=chcdzdyHD
